,score
1647,0.0
1648,6.0
1649,3.333333333333333
1650,0.0
1651,-3.0
1652,10.0
1653,0.0
1654,3.333333333333333
1655,-15.0
1656,2.5
1657,-5.0
1658,3.333333333333333
1659,0.0
1660,-11.0
1661,-12.5
1662,-13.0
1663,10.0
1664,-7.0
1665,-2.5
1666,-14.999999999999998
1667,10.0
1668,5.0
1669,10.0
1670,-1.0
1671,10.0
1672,2.5
1673,-2.5
1674,-3.0
1675,-1.0
1676,-11.0
1677,-2.5
1678,10.0
1679,-5.0
1680,-7.0
1681,-1.6666666666666667
1682,-2.5
1683,3.333333333333333
1684,-5.0
1685,-5.0
1686,-2.5
1687,-9.0
1688,-5.0
1689,2.5
1690,-2.5
1691,-5.0
1692,-5.0
1693,10.0
1694,-10.0
1695,-5.0
1696,-5.0
1697,10.0
1698,-9.0
1699,-12.5
1700,10.0
1701,-5.0
1702,10.0
1703,-3.0
1704,-2.0
1705,5.0
1706,5.0
1707,-1.0
1708,-10.0
1709,-1.6666666666666667
1710,10.0
1711,-15.0
1712,10.0
1713,-2.5
1714,-5.0
1715,1.0
1716,-7.5
1717,-5.0
1718,-5.0
1719,-11.666666666666666
1720,-10.0
1721,-7.5
1722,10.0
1723,10.0
1724,-5.0
1725,-11.0
1726,-2.5
1727,-5.0
1728,-5.0
1729,2.5
1730,-2.5
1731,10.0
1732,-2.5
1733,-7.0
1734,-5.0
1735,1.6666666666666667
1736,-5.0
1737,1.6666666666666667
1738,-7.0
1739,-7.0
1740,10.0
1741,10.0
1742,-10.0
1743,-5.0
1744,10.0
1745,10.0
1746,-5.0
1747,-10.0
1748,10.0
1749,-1.0
1750,0.0
1751,-2.5
1752,10.0
1753,10.0
1754,-10.0
1755,3.333333333333333
